"gene_id","832_M_281","832_M_BTK_217","832_N_273","832_N_BTK_209","832_P_289","832_P_BTK_225","832_T_297","832_T_BTK_233","833_M_280","833_M_BTK_216","833_N_272","833_N_BTK_208","833_P_288","833_P_BTK_224","833_T_296","833_T_BTK_232","entrez_id","transcript_id","gene_symbol"
73,0,0,0,0,225.17,4,0,0,0,0,0,0,0,0,0,0,"83756","uc010nyk.2","TAS1R3"
74,0,0,1,0,0,0,0,0,21.04,0,0,274,36,0,0,0,"1855,102466740","uc001aer.4,uc002quu.3,uc009vka.3,uc031tmb.1,uc031tmc.1","DVL1,MIR6808"
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"54587","uc001aew.4,uc001aex.5,uc001aey.5,uc001aez.4,uc001afa.4,uc031tmd.1","MXRA8"
76,25,14.74,33,4,58,11,1,2,14,4,2,26,10,1,9,0,"54998","uc001afb.1,uc001afc.2,uc001afd.2,uc009vkb.1","AURKAIP1"
77,69,27.99,287.92,10,243,54.09,77.96,2,5,3,2,1647.57,10,3,34.99,0,"81669","uc001afg.1,uc001afi.2,uc001afj.3,uc010nym.1,uc021oep.1","CCNL2"
78,1,1,1,0,120.81,3,0,48,1,0,1,335,3,0,3,0,"148413","uc001afm.3,uc009vkd.4","LOC148413"
79,60.13,14,33,4,166.28,36.58,5.01,48.26,27,8,1,530.42,69.5,0,31.06,0,"55052","uc001afo.4,uc010nyn.1","MRPL20"
80,0,0,0,2.85,2.06,6.58,0,1,0,0,0,23.24,6.46,0,0,0,"441869","uc001afp.3,uc001afq.3,uc010nyo.2","ANKRD65"
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"643965","uc010nyp.2","TMEM88B"
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"64856","uc001afr.3,uc001afs.3","VWA1"
83,53.51,11.9,3.64,18.48,163.32,92.17,15.13,7.91,17.86,1.06,0,426.88,45.09,1.07,1.05,0,"219293","uc001aft.2","ATAD3C"
84,1,0,6,1.15,18.8,4.62,0,0,2,0,0,165.12,3.84,0,0,0,"83858","uc001afv.3,uc001afw.2,uc001afx.3,uc021oeq.1","ATAD3B"
85,0,1.99,1.39,0,256,0,0,0,0,0,0,328.28,1,0,0,0,"55210,NA","uc001afz.2,uc001aga.2,uc001agb.2,uc001agc.1","ATAD3A,NA"
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,NA,"uc031tme.1",NA
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"339453","uc009vkf.3","TMEM240"
88,39.7,77.07,19.89,15.59,222.3,54.1,92.75,3.01,38.74,7,2,2978.02,38.78,1.23,6.11,0,"29101","uc001agd.3,uc001age.1,uc009vkg.1","SSU72"
