"gene_id","entrez_id","transcript_id","gene_symbol"
431,"127707","uc001bax.3","KLHDC7A"
434,"5081","uc001bay.3,uc001baz.3,uc010oct.2","PAX7"
435,"80834","uc001bba.1","TAS1R2"
436,"8659","uc001bbb.3,uc001bbc.3,uc010ocu.2,uc021ohl.1","ALDH4A1"
437,"100616120","uc021ohm.2","MIR4695"
438,"100302276","uc031trl.1","MIR1290"
439,"126917","uc001bbd.2","IFFO2"
440,"23352","uc001bbf.3,uc001bbg.3,uc001bbh.3,uc001bbi.3,uc001bbj.1,uc001bbk.1,uc001bbl.1,uc001bbm.1,uc009vph.3,uc010ocv.2,uc010ocw.2","UBR4"
441,"23065","uc001bbn.4,uc001bbo.4,uc001bbp.4,uc001bbq.4,uc001bbr.4","EMC1"
442,"51154","uc001bbs.3","MRTO4"
443,"246181","uc021ohn.1,uc021oho.1","AKR7L"
444,"22977","uc001bbv.1","AKR7A3"
445,"100506730","uc021ohp.1","LOC100506730"
446,"8574","uc001bbw.3,uc009vpi.1","AKR7A2"
447,"54896","uc001bby.3,uc001bbz.3,uc001bca.3,uc001bcb.3,uc021ohq.1","PQLC2"
448,"832","uc001bce.4,uc009vpk.4,uc010ocz.2,uc021ohr.2","CAPZB"
452,"4681,100532736","uc001bcj.2,uc001bck.3,uc009vpl.2,uc009vpm.2,uc021ohw.1,uc021ohy.2,uc021ohz.1,uc031plj.1,uc031plk.1,uc031pll.1","NBL1,MINOS1-NBL1"
453,"440574","uc001bch.2,uc001bci.2,uc021oht.1,uc021ohu.1,uc021ohv.1","MINOS1"
454,"644068","uc021ohx.2","RPS14P3"
455,"3362","uc001bcl.4","HTR6"
456,"255104","uc001bcn.3,uc001bco.1,uc001bcp.1,uc001bcq.1,uc009vpn.1","TMCO4"
458,"54546","uc001bcr.3","RNF186"
459,"23252","uc001bcs.4","OTUD3"
460,"30814","uc001bct.1","PLA2G2E"
461,"5320","uc001bcu.3,uc001bcv.3,uc010oda.2,uc010odb.2","PLA2G2A"
463,"5322","uc001bcx.3,uc001bcy.3","PLA2G5"
465,"26279","uc001bcz.4,uc031plm.1","PLA2G2D"
466,"64600","uc009vpp.1","PLA2G2F"
467,"391013","uc009vpq.1","PLA2G2C"
468,"101928017","uc031trq.1","UBXN10-AS1"
469,"127733","uc001bdb.3","UBXN10"
472,"127731","uc001bdd.2,uc001bde.3,uc009vps.2,uc009vpt.2,uc010odc.1","VWA5B1"
473,"339505","uc001bdf.2,uc009vpu.2","LINC01141"
474,"55450","uc001bdh.3","CAMK2N1"
475,"79594","uc001bdi.4","MUL1"
476,"163933","uc001bdj.3","FAM43B"
477,"978","uc001bdk.3,uc001bdl.3,uc009vpv.3","CDA"
478,"65018,102464833","uc001bdm.3,uc001bdn.3,uc031trt.1","PINK1,MIR6084"
479,"1650,100861548","uc001bdo.1,uc010odd.1,uc010ode.1,uc031tru.1","DDOST,PINK1-AS"
480,"57576","uc001bdp.4,uc001bdr.5,uc001bds.5,uc009vpx.3,uc031trv.1","KIF17"
481,"400745","uc001bdt.1,uc001bdu.1,uc009vpy.1","SH2D5"
482,"50809","uc001bdv.1,uc001bdw.1,uc001bdy.1,uc001bea.2,uc001beb.3,uc010odf.1,uc010odh.1,uc031trw.1","HP1BP3"
483,"8672","uc001bec.3,uc001bee.3,uc001bef.3,uc001beg.3,uc001beh.3,uc009vpz.3,uc010odi.2,uc010odj.2,uc010odk.2","EIF4G3"
486,"100302155","uc031tsa.1","MIR1256"
492,"1889","uc001bei.2,uc001bej.2,uc001bek.2,uc001bem.2,uc009vqa.1,uc010odl.1","ECE1"
494,"100506801","uc001beo.2","LOC100506801"
499,"84224","uc001ber.4,uc001bes.4,uc009vqb.4,uc010odm.3","NBPF3"
501,"249","uc001bet.3,uc001beu.4,uc010odn.2,uc010odo.2,uc010odp.2","ALPL"
503,"5909","uc001bev.3,uc001bew.3,uc001bex.3,uc001bey.3,uc001bez.1","RAP1GAP"
504,"84196","uc001bfa.3,uc001bfb.3,uc001bfc.3,uc001bfd.1,uc001bfe.1,uc001bff.3,uc009vqc.3,uc010odq.2","USP48"
505,"401944","uc001bfg.1,uc001bfh.1","LDLRAD2"
506,"3339","uc001bfi.3,uc001bfj.3,uc009vqd.3,uc009vqe.1","HSPG2"
507,"23436,10136","uc001bfk.3,uc001bfl.3,uc009vqf.3","CELA3B,CELA3A"
