"gene_id","235-1_M_265","235-1_N_257","235-1_P_273","235-1_T_281","235_M_217","235_N_209","235_P_225","235_T_233","entrez_id","transcript_id","gene_symbol"
125,4,0,0,4.5,0.5,0,0.5,12,"127281","uc001aju.3,uc001ajv.2,uc001ajw.2,uc001ajx.2,uc010nzd.2,uc010nze.2,uc010nzf.2,uc021oew.1,uc021oex.1","FAM213B"
126,0,0,0,0.5,0,0,0,1,"79258","uc001ajy.2,uc009vlg.1","MMEL1"
127,0,0,0,2.2,0,0,0,0,"100287898","uc021oey.1","TTC34"
128,0,0,0,0,0,0,0,0,NA,"uc031tmx.1",NA
129,0,0,0,0,0,0,0,0,NA,"uc031tmy.1",NA
130,0,0,0,0,0,0,0,0,NA,"uc031tmz.1",NA
131,0,0,0,0,0,0,0,0,"140625","uc001ajz.3","ACTRT2"
132,0,0,0,0,0,0,0,0,"440556","uc001aka.3","LINC00982"
133,0,0,0,0,0,0,0,0,"440556","uc010nzg.1","LINC00982"
134,0,4,0,0,0,0,0,0,"63976","uc001akc.3,uc001ake.3,uc001akf.3,uc009vlh.3","PRDM16"
135,0,0,0,0,0,0,0,0,"100422968","uc021oez.1","MIR4251"
136,0,4,0,0,0,0,0,0,"27237","uc001akg.4,uc001aki.3,uc001akj.3,uc009vli.1,uc010nzh.2","ARHGEF16"
137,0,0,4,33.73,0,8.93,6.95,8.89,"1953","uc001akk.3,uc001akl.3","MEGF6"
138,0,0,0,0,0,0,0,0,"693135","uc021ofa.1","MIR551A"
139,5,8,7,41.26,2.01,0,7,51,"127262","uc001akm.3,uc009vlj.3,uc031pkw.1","TPRG1L"
140,35.68,16.3,17.57,35.14,17.71,32,49.88,37.16,"49856","uc001akn.3,uc001ako.3,uc010nzi.3","WRAP73"
141,0,0,9.51,3,2,0,0,0,"7161","uc001akp.3,uc001akr.3,uc001aks.3,uc009vlk.2,uc009vll.3,uc010nzj.2,uc010nzk.2,uc010nzl.2,uc021ofb.1,uc021ofc.1,uc021ofd.1,uc021ofe.1,uc021off.1,uc021ofg.1,uc021ofh.1,uc021ofi.1","TP73"
142,0,0,0,0,0,0,0,0,NA,"uc031tna.1",NA
143,7.96,30.22,3.29,61.83,14.71,16.32,28.08,6.75,"57212","uc001akt.4,uc009vlm.3,uc021ofj.1,uc021ofk.1,uc021ofl.1","TP73-AS1"
144,0,0,0,0,0,0,0,0,NA,"uc031tnb.1",NA
145,0,0,0,0,0,0,0,0,NA,"uc031tnc.1",NA
146,0,0,0,0,0,0,0,3,"148870","uc001akv.2","CCDC27"
147,0,0,0,0,0,0,0,0,"388588","uc001akw.5,uc031pkx.2","SMIM1"
148,1.14,0,0,1.25,0.99,14,4.71,3.4,"57470","uc001akx.1","LRRC47"
149,28.89,48.15,0,63.96,13.64,62.83,85,13.94,"9731","uc001aky.2,uc001akz.3,uc010nzm.1,uc031pky.1","CEP104"
150,86.28,58.52,29.64,112.54,58.99,15.59,171.16,61.36,"1677","uc001ala.2,uc001alb.4,uc001alc.4,uc001ald.4,uc001ale.4,uc009vln.2,uc009vlo.2,uc009vlp.4,uc009vlq.4,uc009vlr.4,uc010nzn.3","DFFB"
151,35.88,20.88,7.35,27.5,18.36,28.39,115.69,11.8,"339448","uc001alf.3,uc009vls.3","C1orf174"
152,0.98,3.72,0.42,5.07,1.12,5.9,21.22,3.3,"100133612","uc001alg.3,uc001alh.4,uc010nzo.2","LINC01134"
153,0,0,0,0,0,0,0,0,"728716","uc001ali.2","LINC01346"
154,0,0,0,0,0,0,0,0,NA,"uc031tnd.1",NA
155,0,0,0,0,0,0,0,0,NA,"uc031tne.1",NA
156,0,0,0,2,0,0,10,0,"284661","uc001alj.2","LOC284661"
157,0,0,0,0,0,0,0,0,"55966","uc001alm.1,uc001aln.3","AJAP1"
158,0,0,0,0,0,0,0,0,NA,"uc001alo.4",NA
159,0,0,0,0,0,0,0,0,NA,"uc031tnf.1",NA
160,0,0,0,0,0,0,0,0,NA,"uc031tng.1",NA
161,0,0,0,0,0,0,0,0,NA,"uc031tnh.1",NA
162,0,0,0,0,0,0,0,0,NA,"uc031tni.1",NA
163,0,0,0,0,1.03,0,0.48,1.24,NA,"uc001alp.1",NA
164,0,0,0,0,0,0,0,0,"100616489","uc021ofm.1","MIR4417"
165,0,0,0,0,0,0,0,0,NA,"uc031tnj.1",NA
166,0,0,0,0,0,0,0,0,NA,"uc031tnk.1",NA
167,0,0,0,0,0,0,0,0,NA,"uc031tnl.1",NA
168,0,0,0,0,0,0,0,0,"100616421","uc021ofn.1","MIR4689"
169,6.07,5,4.97,10,8,11.57,31.96,3.94,"261734","uc001alq.2,uc001alr.1,uc001als.3,uc001alt.4,uc009vlt.3,uc009vlu.2","NPHP4"
170,198.02,40,10.04,304.24,207.93,31.44,363.06,203.36,"8514","uc001alu.3,uc001alv.2,uc001alw.2,uc001alx.2,uc001aly.2,uc009vlv.2,uc009vlw.2","KCNAB2"
171,0,0,0,0,0,0,0,0,"26038","uc001alz.2,uc001ama.2,uc001amb.2,uc001amc.1","CHD5"
172,13,24,56.35,67.98,53.99,38.52,172.62,49.99,"6146","uc001amd.3,uc001ame.3","RPL22"
173,25.05,6.21,9.07,37.58,14.39,8.37,27.35,10.31,"388591","uc001amf.1,uc001amg.3,uc001amh.3,uc010nzp.1","RNF207"
174,6.09,12.1,8.1,21.33,0.55,3.01,13.36,13.62,"23463","uc001amk.3,uc001aml.3","ICMT"
175,0,6.75,0,0.69,0,3,6.14,0,"148645","uc031tnm.1","LINC00337"
176,0,0,0,0,0,0,0,0,"390992","uc009vly.2","HES3"
177,0,0,0,0,0,0,0,0,"387509","uc001amp.2","GPR153"
178,0,0,0,0,0,0,0,0,"11332","uc001amq.3,uc001amr.3,uc001ams.3,uc001amt.3,uc001amu.3","ACOT7"
179,0,0,0,0,0,0,0,0,NA,"uc031tnn.1",NA
180,7.98,9.53,0,23.93,14.98,3,11.76,12.64,"54626","uc001amw.4,uc001amx.3","HES2"
181,0,0,0,2,0,0,0,0,"83715","uc001amy.3,uc001amz.3","ESPN"
182,0,0,0,0,0,0,0,0,"100422975","uc021ofo.1","MIR4252"
183,0,0,0,79,1,0,1,41.05,"8718","uc001ana.3,uc001anb.3,uc001anc.3,uc001and.3,uc001ane.3,uc001anf.3,uc001ang.3,uc001anh.3,uc001ani.1,uc009vlz.3","TNFRSF25"
184,0,0,0,0,1,0,9.36,1,"57449","uc001anj.1,uc001ank.1,uc001anl.2,uc001anm.2,uc001ann.1,uc001ano.1,uc001anp.2,uc001anq.2,uc009vma.1,uc009vmb.2,uc010nzr.1,uc031plb.1","PLEKHG5"
185,117.87,131.67,79.39,362.45,151.04,95.34,1878.5,186.96,"79707","uc001ans.3,uc010nzs.2","NOL9"
186,0,0,0,0,0,0,0,0,"80835","uc001ant.3,uc001anu.3,uc021ofp.1","TAS1R1"
187,28,0,5,21,8,0,1,9.62,"3104","uc001anx.4,uc001any.2,uc009vmc.3,uc009vmd.3","ZBTB48"
188,9.38,16.1,21.03,58.99,8.86,1.46,34.93,18.65,"9903","uc001anz.1,uc001aoa.3,uc009vme.3","KLHL21"
189,6,1,0,2,0,0,3,9,"148479","uc001aob.4","PHF13"
190,21.54,0,0,0,14.86,13,75.06,15.29,"90326","uc001aoc.3,uc001aod.3,uc001aoe.2","THAP3"
191,36.19,42,12,30,1,21,38,0,"55735","uc001aof.2,uc001aog.2,uc010nzu.1","DNAJC11"
192,0,0,0,0,0,0,0,0,NA,"uc031tno.1",NA
193,0,0,0,0,0,0,0,0,"100505887","uc031tnp.1,uc031tnq.1","LOC100505887"
194,12.37,6.99,0,31,12.74,7,142.07,46,"23261","uc001aoh.3,uc001aoi.3,uc001aoj.3,uc001aok.4,uc009vmf.3,uc010nzv.1,uc021ofq.1,uc021ofr.1","CAMTA1"
195,17,1,7,22,5.66,3,36.98,21,"9341","uc001aol.3","VAMP3"
196,1,2,0,14,1.12,0,29.18,16.12,"8863","uc001aon.3,uc001aoo.4,uc001aop.4,uc009vmh.2,uc010nzw.3,uc031tnr.1","PER3"
197,0,0,0,3,1.88,0,1,0,"10911","uc001aoq.3,uc001aor.3,uc001aos.3","UTS2"
198,0,0,0,0,0,0,0,0,NA,"uc031tns.1",NA
199,10.64,8.7,11.59,65.06,10.96,4.64,75.23,24.89,"3604","uc001aot.3","TNFRSF9"
200,0,0,0,0,0,0,0,0,NA,"uc021ofs.1",NA
201,2,0,1,57,21,4,30.41,15.97,"11315,NA","uc001aou.4,uc001aov.4,uc001aox.4,uc001aoy.1","PARK7,NA"
202,0,0,0,0,0,0,0,0,NA,"uc031tnt.1",NA
203,0,3,0,3,0,0,0,0,"54206","uc001aoz.3,uc001apa.1","ERRFI1"
204,0,0,0,0,0,0,0,0,NA,"uc031tnu.1",NA
205,0,0,0,0,0,0,0,4,"50651","uc001apb.3,uc001apc.3","SLC45A1"
206,0,0,0,0,0,0,0,0,NA,"uc031tnv.1",NA
207,192,95.78,139.32,291.61,34.15,184.67,246.62,132.99,"473","uc001apd.3,uc001ape.3,uc001apf.3,uc001aph.1,uc010nzx.1","RERE"
208,0,0,0,0,0,0,0,0,NA,"uc001apg.1",NA
209,0,0,0,0,0,0,0,0,NA,"uc031tnw.1",NA
210,207.38,11.68,26.91,15.31,14,0,36,22.07,"2023","uc001api.2,uc001apj.2,uc009vml.2","ENO1"
211,0,0,0,0,0,0,0,0,"102465436","uc031tnx.1","MIR6728"
212,0,7.32,9.08,0,0,10,0,27.4,"2023","uc009vmm.4","ENO1"
