"gene_id","235-1_M_265","235-1_N_257","235-1_P_273","235-1_T_281","235_M_217","235_N_209","235_P_225","235_T_233","entrez_id","transcript_id","gene_symbol"
42987,2.39,4.9,4.52,11.62,4.23,2.42,4.86,2.09,"169355","uc003xno.1,uc003xnp.1,uc010lwy.1,uc010lwz.1","IDO2"
42988,0,0,0,0,0,0,0,0,"56892","uc003xnq.2","C8orf4"
42989,0,0,0,0,0,0,0,0,NA,"uc033bix.1",NA
42990,0,0,0,0,0,0,0,0,"79698","uc003xnr.4,uc003xns.4","ZMAT4"
42991,0,0,0,0,0,0,0,0,NA,"uc033biy.1",NA
42992,0,0,0,0,0,0,0,0,NA,"uc033biz.1",NA
42993,0,0,0,0,0,0,0,0,NA,"uc033bja.1",NA
42994,0,0,0,0,0,0,0,0,NA,"uc033bjb.1",NA
42995,0,0,0,0,0,0,0,0,"6422","uc003xnt.3","SFRP1"
42996,0,0,0,0,0,0,0,0,"100847068","uc033bjc.1","MIR548AO"
42997,8.27,9.25,48.53,82.67,11.14,35.82,20.2,29.33,"51125","uc003xnu.3,uc003xnw.3","GOLGA7"
42998,2.73,3.16,2.22,5.1,2.07,1.05,4.01,3.96,"84296","uc003xnx.3,uc022aug.3","GINS4"
42999,1.91,6.92,7.66,3.49,0.69,7.32,3.69,8.59,"137964","uc003xnz.2","AGPAT6"
43000,0,0,0,0,0,0,0,0,NA,"uc033bjd.1",NA
43001,0,0,0,0,0,0,0,0,NA,"uc033bje.1",NA
43002,0,0,0,0,0,0,0,0,"157848","uc003xoa.2,uc010lxa.1","NKX6-3"
43003,0,0,0,1.31,0,0,0.67,1.19,"286","uc003xoc.3,uc003xod.3,uc003xof.3,uc003xoh.3,uc003xoi.3,uc003xoj.3,uc003xok.3,uc003xol.3,uc003xom.3,uc011lcl.2","ANK1"
43004,0,0,0,0,0,0,0,0,"619554","uc022auh.1","MIR486-1"
43005,0,0,0,0,0,0,0,0,"102465696","uc022aui.2","MIR486-2"
43006,0,0,0,0,0,0,0,0,NA,"uc033bjf.1",NA
43007,20.65,11.1,28.97,53.77,18.11,9.85,7.73,27.58,"7994","uc003xon.4,uc010lxb.3,uc010lxc.3,uc010lxd.3","KAT6A"
43008,0.55,0.58,1.51,18.11,26.87,0,12.99,8.15,"10947","uc003xoo.3,uc003xop.3,uc003xoq.2,uc010lxe.3","AP3M2"
43009,0,0,0,0.42,0,0,0,0,"5327","uc003xos.2,uc003xot.2,uc010lxf.1,uc010lxg.1,uc011lcm.1,uc011lcn.1","PLAT"
43010,12.18,6.37,41.03,29.73,58.32,7.79,20.6,12.7,"3551,NA","uc003xov.3,uc003xow.2,uc003xox.2,uc010lxh.2,uc010lxi.2,uc010lxj.2,uc011lco.2,uc011lcp.2,uc011lcq.2,uc011lcr.2,uc022auj.1,uc022auk.1","IKBKB,NA"
43011,37.57,2.84,0,16.12,6.51,27.2,36.15,10.66,"5423","uc003xoz.2,uc011lcs.2,uc031taw.1,uc031tax.1","POLB"
43012,0,0,0,1.56,0,0,0,0,"27121","uc003xpb.3","DKK4"
43013,204.53,0,0,0,180.7,0,0,58.45,NA,"uc033bjg.1",NA
43014,18.88,13.9,1.95,2.15,0,6.69,14.13,9.6,"7419","uc003xpc.3,uc033bjh.1,uc033bji.1","VDAC3"
43015,0.67,0.71,6.03,9.05,3.35,0,10.3,9.46,"6575","uc003xpe.4,uc010lxl.4,uc010lxm.4,uc011lcu.3","SLC20A2"
43016,5.48,0,14.1,9.06,6.61,24.17,3.22,5.02,"114926","uc003xpg.3,uc003xph.3,uc010lxo.3,uc011lcv.2","SMIM19"
43017,0,0,0,0,0,0,0,0,NA,"uc033bjj.1",NA
43018,0,0,0,0,0,0,0,0,NA,"uc033bjk.1",NA
43019,0,0,0,0,0,0,0,0,"1142","uc003xpi.1","CHRNB3"
43020,46.96,0,0,0,0,0,0,19.8,NA,"uc033bjl.1",NA
43021,0,0,0,0,0,0,0,0,"8973","uc003xpj.4,uc011lcw.3","CHRNA6"
43022,0,0,0,0,0,0,0,0,NA,"uc033bjm.1",NA
43023,0,0,0,2.91,6.43,5.69,0.32,11.76,"55145","uc003xpk.3,uc003xpl.3","THAP1"
43024,14.89,11.43,12,34.88,19.51,9.62,2.6,26.44,"81790,100616115","uc003xpm.3,uc003xpn.3,uc003xpo.3,uc003xpp.3,uc003xpq.4,uc010lxp.3,uc011lcx.2,uc022aum.1","RNF170,MIR4469"
43025,11.33,9.11,7.41,16.45,11.76,10.07,15.63,9.56,"84376","uc003xpr.3,uc010lxq.1","HOOK3"
43026,0,0,0,0,0,0,0,0,NA,"uc033bjn.1",NA
43027,0,0,0,0,0,0,0,0,NA,"uc033bjo.1",NA
43028,0,0,0,0,0,0,0,0,NA,"uc033bjp.1",NA
43029,0,0,0,0,0,0,0,0,NA,"uc033bjq.1",NA
43030,0,0,0,0,0,0,0,0,NA,"uc033bjr.1",NA
43031,8.97,8.11,5.74,7.91,24.76,27.95,10.2,14.41,"2339","uc003xps.4,uc003xpt.4,uc003xpv.4","FNTA"
43032,23.54,39.77,96.44,69.27,11.16,10.35,10.92,0,"84197","uc003xpw.3,uc031taz.1","POMK"
43033,2.1,17.4,32.36,14.25,15.86,24.97,6.36,11.54,"138050","uc003xpx.4","HGSNAT"
43034,0,0,0,0,0,0,0,0,NA,"uc033bjs.1",NA
43035,0,0,0,0,0,0,0,0,NA,"uc033bjt.1",NA
43036,0,0,0,0,0,0,0,0,"340441","uc003xpz.1,uc003xqa.1","POTEA"
43037,0,0,0,0,0,0,0,0,NA,"uc033bju.1",NA
43038,0,0,0,0,0,0,0,0,NA,"uc033bjv.1",NA
43039,0,0,0,0,0,0,0,0,NA,"uc033bjw.1",NA
43040,0,0,0,0,0,0,0,0,NA,"uc033bjx.1",NA
43041,0,0,0,0,0,0,0,0,NA,"uc033bjy.1",NA
43042,0,0,0,0,0,0,0,0,NA,"uc033bjz.1",NA
43043,0,0,0,0,0,0,0,0,NA,"uc033bka.1",NA
43044,0,0,0,0,0,0,0,0,NA,"uc033bkb.1",NA
43045,0,0,0,0,0,0,0,0,NA,"uc033bkc.1",NA
43046,0,0,0,0,0,0,0,0,NA,"uc022aun.1",NA
43047,0,0,0,0,0,0,0,0,"497634","uc003xqb.1,uc010lxr.1","LINC00293"
43048,0,0,0,0,0,0,0,0,NA,"uc033bkd.1",NA
43049,0,0,0,0,0,0,0,0,NA,"uc033bke.1",NA
43050,17.27,35.34,19.78,44.37,58.62,22.88,35.87,55.63,"100287846","uc003xqc.2","LOC100287846"
43051,81.69,55.51,98.29,89.39,80.03,59.12,115.26,53.34,"23514","uc003xqd.4,uc003xqe.4,uc003xqf.3,uc003xqg.1,uc010lxs.4,uc010lxt.3,uc010lxv.1,uc011lcz.3,uc011lda.4,uc011ldb.3,uc011ldc.3,uc011ldd.3,uc011lde.1,uc011ldf.2,uc011ldg.2","SPIDR"
43052,0,0,0,0,0,0,0,0,NA,"uc033bkf.1",NA
43053,0,0,0,0,0,0,0,0,NA,"uc033bkg.1",NA
43054,0,0,0,0,0,0,0,0,"1052","uc003xqh.1","CEBPD"
43055,15.91,5.9,13.81,14.96,8.31,6.56,3.4,10.65,"5591","uc033bkh.1,uc033bki.1","PRKDC"
43056,13.73,4.56,16.84,8.7,1.47,0.85,1.27,0.56,"4173","uc003xqk.2,uc003xql.2,uc010lxw.2,uc011ldi.2","MCM4"
43057,0,12.67,18.26,1.45,12.78,3.38,4.75,9.73,"7336","uc003xqm.3","UBE2V2"
43058,0,0,0,0,0,0,0,0,"101929268","uc033bkj.1","LOC101929268"
43059,0,0,0,0,0,0,0,0,"101929217","uc033bkk.1","LOC101929217"
43060,0,0,0,0.36,0,0,0.94,0,"79645","uc003xqn.3,uc003xqo.2,uc010lxx.2,uc011ldj.1,uc011ldk.1","EFCAB1"
43061,0,0,0,0,0,0,0,0,"6591","uc003xqp.4","SNAI2"
43062,0,0,0,0,0,0,0,0,NA,"uc033bkl.1",NA
43063,0,0,0,0,0,0,0,0,"492307","uc003xqq.5,uc031tba.1,uc031tbb.1,uc031tbc.1","C8orf22"
43064,0,0,0,0,0,0,0,0,NA,"uc003xqr.4",NA
43065,0,0,0,0,0,0,0,0,NA,"uc033bkm.1",NA
43066,0,0,0,0,0,0,0,0,"54212","uc003xqs.2,uc010lxy.2,uc010lxz.2,uc011ldl.2","SNTG1"
43067,0,0,0,0,0,0,0,0,NA,"uc022auo.1",NA
43068,0,0,0,0,0,0,0,0,NA,"uc033bkn.1",NA
43069,0,0,0,0,0,0,0,0,NA,"uc033bko.1",NA
43070,0,0,0,0,0,0,0,0,NA,"uc033bkp.1",NA
43071,0,0,0,0,0,0,0,0,NA,"uc033bkq.1",NA
43072,0,0,0,0,0,0,0,0,NA,"uc033bkr.1",NA
43073,0,0,0,0,0,0,0,0,NA,"uc033bks.1",NA
43074,0,0,0,0,0,0,0,0,NA,"uc033bkt.1",NA
43075,0,0,0,0,0.91,0,0,0,"137902","uc003xqt.4,uc003xqu.4","PXDNL"
43076,0,0,0,0,0,0,0,0,NA,"uc033bku.1",NA
43077,0,0,0,0,0,0,0,0,NA,"uc033bkv.1",NA
43078,0,0,0,0,0,0,0,0,NA,"uc033bkw.1",NA
43079,0,0,0,0,0,0,0,0,NA,"uc033bkx.1",NA
43080,0,0,0,0,0,0,0,0,NA,"uc033bky.1",NA
43081,2.19,5.1,21.28,7.11,9.03,0.68,19.58,7.05,"115294","uc003xqx.5,uc010lya.4,uc011ldm.3,uc011ldn.3,uc011ldo.1","PCMTD1"
43082,0,0,0,0,0,0,0,0,NA,"uc011ldp.1",NA
43083,0,0,0,0,0,0,0,0,NA,"uc033bkz.1",NA
43084,1.92,1.02,0,0,1.15,0,1.02,2.93,NA,"uc003xqy.1",NA
43085,0,0.14,0,0,0,0,0,0.33,"9705","uc003xqz.2,uc003xra.2,uc003xrb.2,uc003xrc.3,uc010lyb.2,uc011ldq.1,uc011ldr.1,uc011lds.1","ST18"
43086,0,0,0,0,0,0,0,0,NA,"uc033bla.1",NA
43087,0,0,0,0,0,0,0,0,NA,"uc033blb.1",NA
43088,0,0,0,0,0,0,0,0,"389658","uc003xrd.3,uc011ldt.2","FAM150A"
43089,3.02,8.05,5.2,4.72,1.3,2.42,3.37,18.22,"9821","uc003xre.4,uc003xrf.4","RB1CC1"
43090,0,0,0,0,0,0,0,0,"2831","uc011ldu.2","NPBWR1"
43091,0,0,0,0,0,0,0,0,NA,"uc033blc.1",NA
43092,0,0,0,0,0,0,0,0,NA,"uc033bld.1",NA
43093,0,0,0,0,0,0,0,0,NA,"uc033ble.1",NA
43094,0,0,0,0,0,0,0,0,NA,"uc033blf.1",NA
43095,0.85,1.4,1.58,0.45,2.18,0,3.35,1.21,"4986","uc003xrh.1,uc003xri.2,uc010lyc.2,uc022aup.1","OPRK1"
43096,1.61,0.85,1.18,0.44,0,0,0.57,0,NA,"uc003xrj.1",NA
43097,0,0,0,0,0,0,0,0,NA,"uc033blg.1",NA
