"gene_id","832_M_281","832_M_BTK_217","832_N_273","832_N_BTK_209","832_P_289","832_P_BTK_225","832_T_297","832_T_BTK_233"
253,105.99,0,73.03,1,1293.11,34,199.98,41
254,0,0,0,0,0,0,0,0
255,0,0,0,0,0,14,0,0
256,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,0
258,14.59,12.13,6.25,6.09,219.52,25.17,3.03,112.55
259,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0
262,7.97,1.01,0,39.48,286.7,10.52,16.24,16.77
263,0,1,0,0,0,0,0,0
264,108.29,56.71,162.15,97.78,382.12,86.09,457.51,56.92
265,8.09,0.75,2.8,0.96,68.92,4.49,7.93,7.02
266,7,6,6,2,228,2,3,0
267,0,0,0,0,17,0,0,0
268,43.95,26.73,5.5,27.81,561.09,173.73,68.64,37.76
269,0,0,0,0,105,2,0,1
270,0,0,0,0,0,0,0,0
271,6.15,0,0,0.41,0,0,0,0
272,102.24,45.08,16.91,23.4,1043.36,177.32,34.82,21.63
273,342,14.03,201.54,527.32,541.08,39.63,26,47
274,0,3.92,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0
278,11.44,0,7,22.14,486.03,282.29,2,2.01
279,0,0,0,0,167,0,0,0
280,0,4,4,3,117,0,128.05,3
281,0,0,0,0,0,0,0,0
282,16,8,29.93,0,6,0,5,0
283,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0
287,71.46,186.83,18.02,1,208.9,20.79,112.76,28.98
288,0,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0
290,67,69,277.98,26,886.1,182,40.01,72.4
291,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,2
293,0,0,0,0,0,0,3,1
294,0,0,0,0,0,0,0,0
295,0,0,0,0,8.84,0,0,0
296,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0
300,2,0,0,0,0,0,2.63,0
301,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0
312,0,0,0,1.33,8.7,1.24,0,0
313,0,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0
