"gene_id","833_M_280","833_M_BTK_216","833_N_272","833_P_288","833_P_BTK_224","833_T_296","833_T_BTK_232"
637,0,0,0,0,0,0,0
638,0,0,0,0,0,0,0
639,0,0,0,0,0,0,0
640,319.46,2,25,139.41,1,329,0
641,0,0,0,1,0,0,0
642,0,0,0,0,0,0,0
643,0,0,0,0,0,0,0
644,0,0,0,0,0,0,0
645,2,0,0,0,0,0,0
646,0,0,0,0,0,0,0
647,0,0,0,0,0,0,0
648,0,0,0,123,0,2,0
649,1,0,1,0,1,2,0
650,0,0,0,0,0,0,0
651,14.35,9,3,73.32,5.51,11.02,0
652,2,0,0,0,0,1,0
653,0,0,0,0,0,0,0
654,0,0,0,0,0,0,0
655,0,0,0,0,0,0,0
656,115.93,0,0,28.95,0,0,0
657,0,0,0,0,0,0,0
658,0,0,0,0,0,0,0
659,13.95,1,1,48,2,0,0
660,0,0,0,0,0,0,0
661,0,0,0,0,0,0,0
662,0,0,0,0,0,0,0
663,72,0,0,2,0,1,0
664,4.32,38.86,15.6,49.4,1.58,9.02,2
665,123,0,0,49,0,1,0
666,1,0,0,0,0,0,0
667,0,0,0,0,0,0,0
668,0,0,0,0,0,0,0
669,0,0,0,0,0,0,0
670,357.04,7,222.92,300.55,53.07,172.46,1
671,0,0,0,4.87,0,0,0
672,0,72,0,0,0,0,0
673,0,0,0,0,0,0,0
674,27,0,26,94,0,0,0
675,1,0,0,6,0,0,0
676,13,1,0,14.65,0,21,0
677,0,0,1,1,0,0,0
678,2.86,0,2,98,0,0,0
679,0,0,0,0,0,0,0
680,0,0,0,0,0,0,0
681,0,0,0,0,0,0,0
682,0,0,0,0,0,0,0
683,0,0,0,0,0,0,0
684,3,1.35,0,97.3,1,0,0
685,5,5,1,1,0,2,0
686,0,0,0,0,0,0,0
687,0,4,0,1,0,0,0
688,32.84,2.72,2.07,131.39,1.6,81.12,0
689,0,0,0,0,0,0,0
690,0,0,0,0,0,0,0
691,0,0,0,0,0,0,0
692,22.78,7.03,3.66,44.84,2,2,0
693,26.02,15,4,57,4,3,0
694,61.15,72.15,7,61.81,0,28,0
695,0,0,0,0,0,0,0
696,46,0,0,0,0,0,0
697,17.92,4.82,0,86.91,0.83,3.37,0
698,64.33,80.05,13.43,444.41,4,62.02,0
699,0,0,0,0,0,0,0
700,2,1,1,2,0,1,0
701,1,0,0,5,0,1.63,0
702,0,0,0,0,0,0,0
703,0,0,0,0,0,0,0
704,4,2,0,2.99,0,0,0
705,1,0,1.58,9,0,0,0
706,0,0,0,0,0,0,0
707,0,0,0,0,0,0,0
708,18.91,0,0.98,16.47,0,0,0
709,5,45.06,0,155.99,0,2,0
710,0,0,0,0,0,0,0
711,18.03,0,0,44.46,0,4,0
712,0,0,0,0,0,0,0
713,4,5,0,85,2,5,0
714,0,0,0,0,0,0,0
715,73.78,10.01,161.86,471.6,3,139.03,0
716,0,0,4.25,0,0,0,0
717,0,0,0,0,0,0,0
718,51,0,1.99,11,1,7.7,0
719,4.02,0,0,48.31,0,2,0
720,0,0,0,0,0,0,0
721,0,0,0,0,0,0,0
722,0,0,0,0,0,0,0
723,0,0,0,0,0,0,0
724,0,0,0,0,0,0,0
725,0,0,0,0,0,0,0
726,0,0,0,0,0,0,0
727,0,0,0,0,0,0,0
728,321.64,17.96,68.99,271.93,1,182,1
729,0,0,0,0,0,0,0
730,0,0,0,0,0,0,0
731,163,1,1,152.2,0,3,0
732,0,0,0,0,0,0,0
733,0,0,0,0,0,0,0
734,0,0,0,0,0,0,0
735,0,0,0,0,0,0,0
736,0,0,0,0,0,0,0
737,0,0,0,0,0,0,0
738,2,3,0,0,0,113,0
739,2,3,3,11,0,5,0
740,0,2,0,0,0,0,0
741,0,0,0,0,0,0,0
742,0,0,0,0,0,0,0
743,0,0,0,13.11,0,0.96,0
744,0.51,0,0.62,1.55,0,0,0
745,0,2.38,0,13.04,0,0,0
746,0,0,0,0,0,0,0
747,5,0,3,4,1,0,0
748,0,0,0,0,0,0,0
749,0,0,0,0,0,0,0
750,0,0,0,0,0,0,0
751,0,0,0,0,0,0,0
752,0,0,0,0,0,0,0
753,145,15,3,40,15,29,0
754,2,1,0,107,1,0,0
755,0,0,0,0,0,0,0
756,6,0,2,8,1,2,0
757,0,0,0,0,0,0,0
758,63.66,8.42,6.04,310.2,6,1.27,0
759,72.68,0,0,109,0,4,0
760,0,0,0,0,0,0,0
761,0,4,0,2.93,0,4.53,0
762,0,0,0,0,0,0,0
763,0,8,0,0,0,0,0
764,5,14.43,1,136.43,0,4,0
765,0,0,0,1.21,0,0,0
766,0,0,0,0,0,0,0
767,7,4,1,2,0,239,2
768,124,2,0,139,0,2,0
769,1,1,0,1.97,0,0,0
770,0,0,0,0,0,0,0
771,4,0,0,1,0,0,0
772,6,9,13,20.8,0,3,0
773,0,0,0,3.02,0,0,0
774,89.9,14.15,13.91,257.75,7.32,5.84,0.99
775,7,2,14,9,5,4,0
776,512.73,9.19,6.01,312.51,14,53.7,0
777,0,0,0,0,0,0,0
778,0,0,0,0,0,0,0
779,0,0,0,0,0.01,0,0
780,0,0,0,0,0,0,0
