gene_id,235-1_P_273,235-1_M_265,235-1_N_257,235-1_T_281,235_P_225,235_M_217,235_N_209,235_T_233
212,4.58,0,0.44,0,0,0,0,8.78
213,0,0,0,0,0,0,0,0
214,0,2.84,1.05,2.36,0,1.37,1.23,0
215,0,0,0,0,0,0,0,0
216,14.69,14.18,12.67,0,2.55,0,0,0
217,4.06,6.72,3.91,7.92,14,7.89,6.67,6.1
218,1.74,0.48,0,0,0,0.64,1.22,0
219,0.32,1.06,0.32,3.86,0.3,0.41,0,1.43
220,2.88,4.93,1.65,5.39,2.26,3.68,2.43,4.34
221,0,0.36,0,0,0,0.97,0,0
222,0.71,9.12,0.59,3.31,0.01,0,0,1.75
223,0,0,0,0,0,0,0,0
224,0,0,0,40.14,0,0,0,0
225,0,3.15,0,0,0,0,0,0
226,0.33,0,0.24,9.02,0.67,0,0,5.26
227,49.93,62.79,14.49,76.89,24.88,9.27,11.61,32.91
228,7.46,3.67,0.27,32.45,2.27,4.17,10.13,10.02
229,7.56,0,9.15,0,3.56,0,7.55,0
230,28.18,7.01,2.69,26.42,2.59,5.49,6.83,11.25
231,0,0,0,0,0,0,0,0
232,15.76,42.76,8.84,2.64,5.12,65.57,0,0
233,12.2,12.74,2.98,11.54,15.25,10.16,8.81,10.01
234,0,0,0,0,0,0,0,0
235,0,1.49,0.8,1.81,1.36,0,0,0
236,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0
238,4.6,11.55,7.53,9.73,13.22,15.73,23.81,11.49
239,4.07,6.5,2.23,5.51,2.95,7.28,5.33,3.99
240,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0
242,4.16,0,0,12.69,0.83,5.51,0,0
243,0,4.32,2.31,1.96,0.4,8.26,0,6.97
244,27.51,34.58,3.28,45.96,25.2,11.84,18.03,32.7
245,4.2,6.45,7.61,14.18,9.6,58.03,2.31,21.06
246,1.42,5.57,0,2.33,0,8.85,7.86,1.47
247,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0
249,5.69,7.46,0.44,9.23,14.92,4.63,3.62,30.68
250,0.73,1.32,0,5.66,0,0,3.93,0
251,4.54,5.56,0.41,7.88,30.15,10.13,15.3,20.74
252,69.08,29.08,20.01,91.41,22.33,62.8,57.8,114.73
253,21.1,27.56,5,20.62,9.57,23.22,0.74,25.06
254,0,0,0,5,3.22,6.78,0,15.85
255,0,0,0,0,0,1.94,1.21,0
256,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,0
258,8.76,16.66,0.66,24.08,10.06,3.71,0.68,20.13
259,0,0,0,0,0,0,0,0
260,4.42,0,0,0,2.25,0,0,0
261,0,0,0,0,0,0,0,0
262,1.16,35.53,4.46,14.12,5.87,1.26,12.05,3.69
263,0,0,0,0,0,0.89,2.57,0
264,22.95,12.39,24.72,9.52,8.8,14.04,37.27,37.84
265,5.3,3.14,1,4.98,1.98,4.6,4.09,2.7
266,4.26,0,0,2.96,0,0,0,1.87
267,0,0,0.56,0,0,0,0,0
268,3.96,15.17,2.75,12.41,15.67,13.42,9.29,10.69
269,1.27,2.76,0,12.65,0,0,0,6.73
270,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0,0
272,9.65,21.33,13.12,18.91,24.4,58.28,12.55,42.47
273,60.11,32.82,6.77,31,54.98,42.67,72.32,8.14
274,0,3.05,0,6.89,0,0,0,0
275,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0
278,0,0.42,9.29,2.82,6.02,2.54,4.83,1.1
279,0.41,0,1.2,0.2,0,3.81,0,0
280,0,13.3,2.57,1.89,3.88,4.8,8.49,11.63
281,0,0,0,0,0,0,0,0
282,6.81,153.84,2.21,6.34,5.53,31.25,0,0.55
283,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0
286,0,0,0,0,1.15,0,0,0
287,23.57,27.77,4.18,19.89,4.36,36.72,62.29,3.73
288,0,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0
290,14.32,9.4,7.39,16.38,8.71,20.9,18.96,10.59
291,0,0,0,0,0,0,0,0
292,0,44.98,0,0,0,0,0,72.68
293,0,0,0,0,377.78,0,0,1.67
294,0,0,0,0,0,0,0,0
295,0,0,0,0,0.13,0,0,0
296,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0
301,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0,0
308,0,0,0.11,0,0,3.99,0.53,0
309,1.27,0,0,0,0.24,0,0,0
310,0,0,0.11,0.75,0,3.99,0.53,0
311,0,0,0,0,0,0,0,0
312,0,0,0,48.47,0,66.84,0,9.42
313,0,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0,0
329,0,0,0.52,0,0.27,0,0,0
330,0,0,0,0,0,0,0,0
331,0,0.26,1.43,0,0.18,0,0,0
332,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0,0
335,88.35,217.84,48,86.18,154.61,571.4,228.36,206.85
336,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0,0
340,0.17,0,0,0,0.09,0,0,0
341,0,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0
343,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0
345,3.27,0,0.42,0.27,0.39,0.27,0,0.67
346,0,0.7,0.69,4.75,1.11,5.61,0,1.37
347,7.61,1.79,0.4,19.05,3.92,8.51,15.4,1.2
348,0,0,0,8.87,0,0,0,0
349,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0
351,2.59,3.21,0.53,0.88,5.44,4.08,0,0.22
352,4.09,5.65,0.61,9.8,8,14.33,9.81,25.92
353,5.3,31.07,6.61,18.12,99.15,16.05,10.54,38.51
354,0.88,0,0.27,5.54,1.03,3.86,0,2.68
355,14.48,1.2,11.5,3.91,0.36,13.81,0.76,3.76
356,0,1.16,0.35,1.76,0.65,10.49,0.5,8.93
357,1.31,8.71,5.78,4.45,0.57,3.27,3.88,0.23
358,0,0,0,0,0,0,0,0
359,1.55,3.23,3.71,9.14,6.58,14.71,1.22,1.13
360,0,0,0,0,0,0,0,0
361,12.52,47.06,9.61,85.53,24.84,27.36,15.99,25.77
362,0,0,0,0,6.44,5.81,0,0
363,5.82,3.62,1.23,3.21,2.81,11.38,0.5,0.78
364,46.22,55.11,11.55,39.34,15.66,36.49,27.79,24.2
365,0,0,0,0,0,0,0,0
366,1.54,31.89,3.87,10.15,7.47,1.94,14.39,6.2
367,0,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0
373,0,2.23,0,0,0,0,0,2.49
374,1.78,0,0.33,2.49,0,1,4.65,0
375,5.03,22.19,3.23,10.13,7.55,43.4,1.83,6.95
376,0,0,0,0,0,0,0,0
377,4.43,72.36,3.68,19.49,39.52,66.44,11.58,20.51
378,0,0,0,0.49,0,0.39,0,0
379,41.28,28.22,48.77,68.55,12.21,46.43,16.87,35.88
380,0.5,2.14,0.76,1.13,0.8,0.29,0.78,3.76
381,160.89,0,49.25,71.73,151.45,150.09,469,83.39
382,0,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0,0
385,0,1.84,0.76,1.43,0.24,9.86,1.38,16.66
386,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0
389,13.69,33.7,7.58,49.88,7.46,50.03,8.25,40.18
390,11.68,18.36,8.65,25.71,23.37,12.97,28.16,32.41
391,0,6.09,4.15,0.97,0,1.13,0,0.72
392,160.89,0,49.25,71.73,151.45,150.09,469,83.39
393,0,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0
397,0,0,0,2.32,0,0,0,0
398,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0
401,2.61,3.6,4.51,2.32,1.54,17.03,4.93,3.21
402,160.89,0,49.25,71.73,151.45,150.09,469,83.39
403,0,0,0,2.77,0,0,0,0
404,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,0
410,0,0,0,0,3.94,33.09,0,0
411,0,0,0,0,0,0,0,0
412,160.89,0,49.25,71.73,151.45,150.09,469,83.39
413,0,0,0,0,0,0,0,0.96
414,2.59,2.52,27.7,24.75,1.13,4.71,0.73,20.89
415,1.29,22.04,0.93,15.44,9.29,2.87,6.65,0.94
416,0,0,0,0,0,0,0,0
417,0,0,0,0,0,0,0,0
418,0,0,0,0,0,0,0.67,0
419,0,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0,0
421,0,0.48,0,1.31,0,0,0,0
422,0,0,0,0,0,0,0,0
423,1.92,11.2,7.6,9.23,5.76,12.68,1.01,2.41
424,0,0,0,0,0,0,0,0
425,0,0,0.26,0,0,0,0,0
426,0,0,0,0,0,0,0,0
427,0,0,0,0,0,0,0,0.53
428,0,0,0,0,0,0,0,0
429,0,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0,0
431,0,0,0,0.83,0,0.34,0,0
432,0,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0,0
434,0,0,0,0,0,0,0,0
435,0,0,0,0,0,0,0,0
436,0,0,0,0,0,0,0,0
437,0,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0,0
439,0,0,0,3.42,1.25,0.48,0,2.99
440,23.7,94.16,4.84,37.62,17.12,148.07,17.58,33.46
441,5.45,6.82,3.67,13.19,10.35,21.68,8.42,26.57
442,4.65,7.71,0.66,2.03,2.6,1.27,0.8,2.14
443,0,0,0.21,0.29,0.49,0.62,0.66,0.44
444,0,0.96,0,0,0,0,0,0
445,0.57,0,1.16,1.1,4.14,23.18,2.51,13.31
446,0,7.61,1.14,0.52,1.75,4.72,1.41,2.64
447,2.42,2.66,0.65,4.05,0.4,11.06,0.9,1.56
448,34.9,68.98,5.86,66.92,8.91,152.99,36.94,137.45
449,11.43,1.13,0.69,2.12,1.74,7.85,50.53,5.34
450,0,0,0,9.48,0,0,0,0
451,0,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0,0
453,1.35,4.95,10.08,3.46,8.68,11.31,2.32,9.12
454,17.09,4.69,1.57,4.98,5.11,7.91,2.06,25.22
455,0,0,0,0,0,0,0,0
456,13.8,13.24,2.65,18.83,20.29,36.76,13.04,34.84
457,0,0,0,0,0,0,0,0
458,0,0,0,0,0,0,0,0
459,0.66,1.51,0.82,1.43,1.18,2.54,0.43,0.93
460,0,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0,0
462,0,0,0,0,0,0,0,0
463,0,0.42,0,0,1.03,0,0,0
464,0,0,0,0,0,0,0,0
465,0,0,0.27,0,0,0,2.28,0
466,0,0,0,0,0,0,0,0
467,0,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0,0
472,11.08,8.73,4.03,12.5,13.8,25.79,9.32,12.16
473,0,0,1.39,0,0,0.53,0,0.25
474,0,36.9,0,26.3,0.43,11.97,0.54,16.36
475,3.74,2.17,0.39,2.74,0.8,0,0,0
476,0,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0,0
478,20.69,0,0.36,3.28,0.19,0,0,1.1
479,81.06,7.76,14.67,89.81,4.65,16.2,3.86,29.9
480,0,0,0,0,0,0,0.79,0
481,0,0,0,0,0,0,0,0
482,36.85,35.33,9.36,35.65,21.66,22.19,11.74,43.76
483,117.72,52.43,90.27,14.31,104.15,69.51,49.3,36.76
484,0,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0,0
486,0,0,0,0,0,0,0,0
487,0,0,0,0,0,0,0,0
488,0,0,0,0,0,0,0,0
489,0,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0,0
492,28.63,16.08,2.27,11.66,9.36,20.49,3.62,10.66
493,5.09,5.39,1.67,8.14,22.98,10.97,6.91,10.86
494,0,0,0,0.24,15,0.57,0.53,0.75
495,0,0,0,0,0,0,0,0
496,0,0,0,0,0,0,0,0
497,0,5.26,0,0,0.25,0,0,1.92
498,0,0,0,0,0,0,0,0
499,1.45,2.17,0.35,2.4,1.41,10.73,1.14,1.62
500,0,0,0,0,0,0,0,0
501,0,0,0,0,2.33,0,0,0
502,0,0,0,0,0,0,0,0
503,0,0,0,0,0,0,0,0
504,12.92,13.94,1.13,13.91,32.51,15.97,19.68,25.67
505,9.68,2.47,0,0.72,0,0,0,0
506,0.09,3.19,0.62,7.92,0.25,0,0,1.1
507,1.09,2.56,0,2.86,1.82,0.41,0.52,9.24
508,0,14.64,0.5,2.4,6.96,12.37,0,0
509,20.63,96.11,16.85,68.08,172.91,116.52,33.54,148.19
510,0,2.42,0.6,0,0,0,0.49,0
511,0,0,0,0,0,0,0,0
512,19.79,5.02,7.45,16,18.25,11.16,12.98,22.86
513,0,0,0.28,0,0,0,0,0
514,0,0,0,0,0,0,0,0
515,0,0,0,0,0,0,0,0
516,0,0,0,0,0,0,0,0
517,0,0,0,0,0,0,0,0
518,0,0,0,0,0,0,0,0
519,0,0,0,0,0,0,0,0
520,0,0,0,0,0,0,0,0
521,0,0,0,0,0,0,0,0
522,0,0,0,0,0,0,0,0
523,0,9.44,0.47,11.49,9.46,10.42,10.28,16.27
524,0,0,0,0,0,0,0,0
525,0,0,0,0,0,0,0,0
526,0,0,0,0,0,0,0,0
527,0.65,0.84,11.16,0.32,0.1,0,2.08,1.58
528,0,0,0,0,0,0,0,0
529,0,0.38,0.28,3,0.2,0.51,0.49,1.18
530,0,0,0,0,0,0,0,0
531,0,0,0,0,0,0,0,0
532,22.3,8.37,10.42,7.52,15.55,189.14,17.11,15.81
533,0,0.72,0.21,0,0.11,0,0,2.8
534,0,0.24,1.5,1.26,0.54,1.17,0,0.92
535,0,0,0,0,0,0,0,0
536,0.88,0.72,0,34.2,0,0,0,15.1
537,0,0,0,0,0,0,0,0
538,2.49,4.57,2.94,0,0,0,0,0
539,0.87,7.91,0.71,0.38,10.26,8.57,0,8.96
540,0,0,0,0,0,0,0,0
541,0,0,0,0,0,0,0,0
542,0,0,0,0,0,0,0,0
543,0.25,4.58,0.15,2.57,2.41,6.47,1.65,1.52
544,0,1.02,0,1.31,2.91,2.67,0,1.06
545,69.75,173.39,18.97,22.24,53.67,77.7,49.82,34.56
546,0.87,8.14,1.85,2.88,5.33,0.99,0.8,7.67
547,0,0,0,0,0,0,0,0
548,102.87,424.48,91.15,223.88,58.78,2402.78,31.51,411.1
549,19.5,13.61,0.47,6.53,15.29,31.53,15.22,11.04
550,0,0,1.5,0,7.15,0,0,4.05
551,0,0,0,0,0,0,0,0
552,3.41,0.72,1.29,0,0.66,0,7.11,0
553,11.92,13.26,5.91,17.82,0.66,10.46,24.86,13.62
554,0,2.72,2.95,3.08,2.28,2,0,7.34
555,2.31,1.66,12.7,8.27,13.84,1.91,2.09,2.94
556,0,0,0,0,0,0,1.67,2.31
557,12.76,9.33,9.98,1.07,13.72,36.55,13.65,0
558,0,0,0,0,0,0,0,0
559,0,0,0,0,0,0,0,0
560,0,0,0,0,0,0,0,0
561,0,0,0,0,0,0,0,0
562,51.23,142.94,14.64,32.42,37.05,47.5,28.59,42.9
563,9.05,42.7,9.89,18.75,27.47,18.88,5.09,14.62
564,0,0,0,0,0,0,0,0
565,0,0,0,0,0,0,0,0
566,0,0,0,0,0,0,0,0
567,0,0,0,0,0,0,0,0
568,0,0,0,0,0,0,0,0
569,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0
571,0.54,1.01,0.29,2.12,2.05,2.35,2.83,2.13
572,0,0,0,0,0,0,0,0
573,7.4,7.61,15.27,12.65,7.46,7.19,71.36,4.76
574,0,0,0.29,0,0,0.79,0,0
575,0,0,0,0,0,0,0,0
576,0,0,0,0,0,0,0,0
577,0,0,0,0,0,0,0,0
578,0,0,0,0,0,0,0,0
579,0,0,0,0,0,0,0,0
580,2.01,3,0,14.07,9.27,1.34,0,1
581,80.95,37.9,34.84,23.18,24.35,139.33,6.15,56.32
582,0,0,0,0,0,0,0,0
583,1.55,12.91,0.55,26.64,1.67,39.71,4.27,32.48
